,ctr_t1,ctr_t2,ctr_t3,ctr_s1,ctr_s2,ctr_s3,nik_t1,nik_t2,nik_t3,nik_s1,nik_s2,nik_s3,ikk_t1,ikk_t2,ikk_t3
Etv2,0.005408601,0,0,0.004248141,0,0.017161664,0,0,0,0.001320628,0,0.001405989,0,0,0
Igflr1,0.096044926,0.060528245,0.159557027,0.186193938,0.278313188,0.246850413,0.021509654,0.026157769,0.04815051,0.048608503,0.032247124,0.032684446,0.122361551,0.131108237,0.065173379
Kmt2b,1.509631473,1.672436052,1.49151507,1.565434551,1.510161885,1.574539932,1.31314266,1.295436036,1.54508304,1.285392023,1.267803282,1.296291609,1.672499603,1.651171316,1.804010459
Lin37,0.810331931,0.95142795,1.016473372,0.646071945,0.727055505,0.667777192,0.743066632,0.709984674,0.688716308,0.559546765,0.612936175,0.537072061,0.921672114,1.066399064,0.718238842
Psenen,2.645260966,2.508035558,2.675682371,1.370275827,1.596472997,2.431769825,1.823416715,2.252591034,1.708132142,2.045375778,1.95753174,1.530721925,2.549520952,2.985428939,1.778014466
Upk1a,0.016535522,0.010507652,0.021204949,0.01461115,0.014640889,0.014953304,0.015639398,0.013932511,0.017007261,0.012415342,0.012573213,0.013540208,0.020663768,0.020916066,0.02197996
Zbtb32,1.021108336,1.035369149,0.988396991,1.189817146,1.320814588,1.134372954,0.394471897,0.422614472,0.306398175,0.296736999,0.311709732,0.292061307,0.720452797,0.926498279,0.855229417
Rbm42,1.450078849,1.699393897,1.646218482,0.95296053,1.046098507,1.138660088,1.332287597,1.266538371,1.213377482,1.260761365,1.257675572,1.136374954,1.798223445,1.902204275,1.459850379
Haus5,0.054851497,0.058389858,0.042705682,0.0407943,0.051547651,0.050720319,0.089617603,0.073330045,0.085924793,0.050604109,0.048201584,0.044305934,0.098722586,0.08298753,0.095901828
Hspb6,0.192636298,0.113186418,0.114807659,0.110568734,0.063613656,0.105791725,0.399811234,0.413871514,0.305899354,0.482122768,0.416714406,0.442985489,0.220448474,0.092711106,0.167930973
U2af1l4,0.990133249,0.883657905,0.897415145,0.700154596,0.810185147,0.730536729,0.656167388,0.735061477,0.73981571,0.393515041,0.558607705,0.553229328,1.182995138,1.234116234,1.102625365
Gm38670,0.244425077,0,0.083959206,0.431958713,0.210797687,0.099715952,0.276492834,0.196140806,0.091695405,0.498768755,0.303436653,0.081693428,0.233761272,0,0.321333399
Dmkn,0.002718502,0,0,0.012902857,0.000750239,0.004657982,0.000615032,0.002617779,0.003671419,0.000341373,0.001349932,0.000545158,0.002287911,0.001140944,0.000953034
Tmem147,0.564768051,0.666872498,0.469053617,0.433836794,0.426956967,0.567513834,1.041356161,0.851586883,1.168443652,1.186514986,0.930140534,0.955524514,0.399121963,0.844275704,0.741831916
Sbsn,0.001884938,0.000580752,0.002115069,0.003331145,0.002427582,0.00197372,0.009784593,0.013411572,0.020129619,0.006765659,0.015288125,0.015581926,0.001346017,0.000461476,0.001156416
2200002J24Rik,0.008344742,0.005784812,0.008025896,0.02359551,0.024180889,0.002383032,0.013215362,0,0,0,0.025380564,0.009761629,0.049160968,0,0
Atp4a,0.003732591,0.000466223,0.002183091,0.009627175,0.002436053,0.006337942,0.011183374,0.016150045,0.019073965,0.014409873,0.01753311,0.016049332,0.006483428,0.001481875,0.002166175
Gapdhs,0.013339946,0.012508871,0.02161616,0.02904159,0.020074815,0.021808159,0.048477867,0.04914098,0.049246637,0.040998736,0.028561054,0.028043749,0.023555982,0.017749574,0.023425506
Ffar2,0.013126365,0.010301399,0.007146123,0.013130654,0.01315738,0.012023598,0.074522663,0.146075757,0.041624443,0.072386639,0.118372718,0.032448605,0.006632136,0.002425383,0.006077787
Cd22,0.037970056,0.016633125,0.037427902,0.319292686,0.271374686,0.320928395,0.023986399,0.02678705,0.023155529,0.037370486,0.026975419,0.022524334,0.013492786,0.009472157,0.012696193
Ffar1,0.006439942,0,0,0.043247603,0.015551063,0.004597682,0,0.005426171,0.005919021,0.002830415,0,0,0.005173543,0.00394161,0.001975463
Ffar3,0,0.003360134,0,0.012848961,0.017556973,0,0.011514304,0,0.022911453,0.023966298,0,0.047628726,0.011681742,0,0.0089211
Mag,0.003425501,0.001385215,0.007206971,0.012107392,0.00103398,0.001711903,0.003164514,0,0,0,0.002046525,0.001602852,0.00183459,0,0.000525389
Fxyd5,5.686439221,5.169874033,4.903290736,2.675665569,3.172777323,2.994155375,2.51073057,2.869694736,2.36918943,1.32456754,1.630556184,1.489779261,4.753300742,5.509461976,4.237436048
Fxyd1,0.000243451,0.005625578,0,0.010325706,0.001763646,0.006257077,0.00064258,0.026666554,0.022375871,0.000534996,0.007933478,0.001139151,0.001955772,0.004768192,0.004480745
Fam187b,0.001772976,0.002926374,0.003451065,0.002685669,0.0046891,0.002169916,0.002674113,0.00545383,0.007316398,0.002782999,0.003668376,0.001185152,0.000452166,0.002066975,0.00517965
Mir7050,0.291273217,0.103548135,0.269369118,0.158384861,0.595152136,0.255937611,0.177416235,0.818070612,0.176513655,0.393899427,0.194705186,0.052419949,0.959979623,0.438832569,0.618566794
Hamp,0,0.003731464,0,0.039952938,0.007798881,0.006917233,0.002131126,0,0.014841989,0.063875583,0.014032806,0.045336173,0,0.007906893,0
Fxyd7,0.003602916,0.003122054,0.002887709,0.00212241,0.007250216,0.002572237,0.011887185,0.01644363,0.017740066,0.015505254,0.016959246,0.006322004,0,0,0.001842001
