,nik_s1,nik_s2,nik_s3,ctr_s1,ctr_s2,ctr_s3,nik_t3,ikk_t2,ikk_t3,ctr_t1,ctr_t2,ctr_t3,nik_t1,nik_t2
Efhb,0.00971453,0.013197946,0.00211811,0.001013705,0.013378447,0.003330848,0.00137952,0.000744922,0.000313128,0.000565919,0.001345165,0,0.010614914,0.009081602
Rab5a,0.347306765,0.35742349,0.370066322,0.354905381,0.230514982,0.248089112,0.409087511,0.252076896,0.200596938,0.221241763,0.237375297,0.197353942,0.303726675,0.382983774
Pp2d1,0.020010069,0.016468739,0.007756268,0.011520664,0.003849237,0.017941189,0.013678287,0.010102006,0.004414554,0.018008539,0.006649876,0.005111224,0.017015784,0.015273646
4932415M13Rik,0.029953425,0.026127576,0.010914659,0.004306138,0.020423493,0.00460671,0.008283018,0.005537644,0.004073562,0.00483801,0.00454535,0,0.025363867,0.024707773
Sult1c2,0.003832618,0.009961045,0.002599787,0.001675902,0,0.004781017,0.002046768,0.000574718,0,0.000873229,0,0,0.011699366,0.007584447
Sult1c1,0.005384862,0.013359203,0.000426942,0,0.003178203,0.006011283,0.00070586,0,0.00034714,0.001003823,0.000271141,0.000669871,0.010086778,0.01037943
Slc5a7,0.015654278,0.013440832,0.000365698,0.000733414,0.003024779,0.001961518,0.001074857,0.00075453,0.001057223,0,0.000928988,0,0.006582753,0.011854047
1700025K24Rik,0.000813276,0.004227439,0.001773229,0.001066872,0.004400039,0,0.000781778,0.000182931,0,0,0.001351366,0,0.002792913,0.003448733
St6gal2,0.0100732,0.006812256,0.001120568,0.00283162,0,0.000216376,0.000395227,0.000554885,0.001312008,0.000948482,0.000797046,0.000225046,0.006757211,0.006886842
Vmn2r118,0.003880922,0.011413771,0.000712571,0,0.000884076,0.002866544,0.001570786,0.000183777,0.001641579,0.000418848,0.002715228,0,0.002605409,0.005716719
Zfp119b,0.072920147,0.070654694,0.030682596,0.044472637,0.042912413,0.062388534,0.027054594,0.02071836,0.031449046,0.009509463,0.022320141,0.04166383,0.037029341,0.071609105
Zfp119a,0.105890642,0.069790542,0.072909138,0.100028124,0.181462903,0.089945433,0.07987315,0.046268724,0.04479034,0.075322481,0.030307405,0.048253641,0.05468337,0.071329801
Ebi3,0.183381045,0.196127438,0.15427275,0.010644379,0.001756,0.012526103,0.05771961,0.027742129,0.01534396,0.019966529,0.003595421,0.018653694,0.227700157,0.213333633
Zfp959,0.162319245,0.224456875,0.242294414,0.386283518,0.298359489,0.29496744,0.256053696,0.205489731,0.194792424,0.20856311,0.216117726,0.248883669,0.280756231,0.207379064
Gm16712,0.078672423,0.194448004,0.058523236,0.006070828,0.003338343,0.035720176,0.038554171,0.013185182,0.016773035,0.03874929,0.03161315,0.009287837,0.033298627,0.094196871
Fsd1,0.009599998,0.017821838,0.007176473,0.006746502,0,0.003849288,0.003295784,0.003393251,0.000324171,0.002460687,0.000759603,0,0.02893096,0.017446808
Ubxn6,0.896241237,0.938917004,0.809231799,0.784194493,0.354750752,0.799548447,0.73050239,0.82961668,0.679348732,0.921187766,0.805305754,0.721214855,0.997387406,1.083497027
Sh3gl1,0.311900822,0.343962552,0.297913463,0.391796757,0.339815446,0.383253712,0.342800038,0.416432384,0.395852059,0.436040879,0.401179533,0.349859874,0.340426267,0.366149914
Shd,0.016181472,0.04806394,0.02469692,0.003790568,0,0.026764012,0.008888442,0.003639722,0.001092827,0.003555139,0.001920547,0.003163221,0.007938516,0.024506518
Mpnd,0.673415638,0.74997504,0.658138152,0.350328417,0.292441074,0.42883671,0.651037249,0.526182343,0.538384794,0.502530087,0.547217573,0.487012925,0.796170492,0.832466616
Stap2,0.052669663,0.066271871,0.088954217,0.015902387,0.041612747,0.010559413,0.04018238,0.003384875,0.003161851,0.008571667,0.01574391,0.001830415,0.065623784,0.073031269
Chaf1a,0.449539825,0.372041881,0.51018716,0.178701649,0.114780093,0.377179244,0.721933065,0.742619834,0.872883583,0.441903075,0.545229932,0.630607996,0.577372788,0.680508017
